params,mean_test_score,rank_test_score,model
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.8324044141502455,7,RF
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",-0.8342448074749516,8,RF
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",-0.8366485998589193,9,RF
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.8490173993537194,10,RF
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 300}",-0.8561357742867127,15,RF
"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 500}",-0.8584695080047388,18,RF
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.81752537401136,1,RF
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",-0.8246096537451925,3,RF
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",-0.8288501357636481,5,RF
"{'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.849018579595298,11,RF
"{'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 300}",-0.8555469282077383,13,RF
"{'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 500}",-0.8571178699020431,16,RF
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.8179550834162221,2,RF
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",-0.8247676943433685,4,RF
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",-0.8290697330595718,6,RF
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.849165124978607,12,RF
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 300}",-0.8555957868341316,14,RF
"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 500}",-0.8571471601592812,17,RF
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-1.2520943880081177,12,XGB
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",-0.88177090883255,6,XGB
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",-1.1545660734176635,10,XGB
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",-0.8700932741165162,5,XGB
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",-1.1672409534454347,11,XGB
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300}",-0.9466143369674682,9,XGB
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-0.8055844187736512,2,XGB
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",-0.7586726069450378,1,XGB
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",-0.8294081211090087,4,XGB
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",-0.8077209949493408,3,XGB
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",-0.9025480389595032,8,XGB
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",-0.9000537872314454,7,XGB
