rank,feature_idx,feature_name,mean_abs_shap
1,713,ECFP4_713,0.008723408327415184
2,1277,RDKit2D::EState_VSA2,0.007966624956743724
3,1249,RDKit2D::PEOE_VSA8,0.007707426606945293
4,1204,RDKit2D::MaxAbsPartialCharge,0.006829842607810813
5,1203,RDKit2D::MinPartialCharge,0.006438255450573791
6,314,ECFP4_314,0.006290721733840348
7,1109,MACCS_85,0.006256886395616253
8,1228,RDKit2D::Chi3n,0.005929893159802726
9,1317,RDKit2D::NumUnspecifiedAtomStereoCenters,0.0058442232520973985
10,1284,RDKit2D::EState_VSA9,0.005514903726991489
11,1191,RDKit2D::MaxAbsEStateIndex,0.005477249803592962
12,1192,RDKit2D::MaxEStateIndex,0.005393611159144346
13,1209,RDKit2D::BCUT2D_MWHI,0.005256439481581851
14,1230,RDKit2D::Chi4n,0.004940013170503667
15,1289,RDKit2D::VSA_EState4,0.0047677854288152785
16,266,ECFP4_266,0.004765603345436095
17,1226,RDKit2D::Chi2n,0.0047194231658211775
18,1297,RDKit2D::NHOHCount,0.004681275007315087
19,1322,RDKit2D::fr_Al_COO,0.004486967231959446
20,1194,RDKit2D::MinEStateIndex,0.004448161129940406
